,SAMPLE_ID,labels_v1,Predicted
0,Sample_0003,1,1
1,Sample_0013,1,1
2,Sample_0020,1,1
3,Sample_0022,1,1
4,Sample_0023,0,1
5,Sample_0031,1,1
6,Sample_0035,1,1
7,Sample_0047,1,1
8,Sample_0083,0,1
9,Sample_0086,1,1
10,Sample_0088,1,1
11,Sample_0089,0,1
12,Sample_0092,1,1
13,Sample_0106,1,1
14,Sample_0108,1,1
15,Sample_0110,0,1
16,Sample_0117,1,1
17,Sample_0118,1,1
18,Sample_0120,0,1
19,Sample_0124,0,1
20,Sample_0216,1,1
21,Sample_0227,1,1
22,Sample_0229,1,1
23,Sample_0233,1,1
24,Sample_0234,1,1
25,Sample_0239,1,1
26,Sample_0240,1,1
27,Sample_0242,1,1
28,Sample_0245,1,1
