,SAMPLE_ID,labels_v4
0,Sample_0003,1
1,Sample_0004,1
2,Sample_0006,1
3,Sample_0011,1
4,Sample_0013,1
5,Sample_0015,1
6,Sample_0016,1
7,Sample_0017,1
8,Sample_0018,0
9,Sample_0019,1
10,Sample_0020,1
11,Sample_0022,1
12,Sample_0023,0
13,Sample_0025,1
14,Sample_0027,0
15,Sample_0030,1
16,Sample_0031,1
17,Sample_0033,1
18,Sample_0034,1
19,Sample_0035,1
20,Sample_0037,1
21,Sample_0039,1
22,Sample_0043,1
23,Sample_0044,1
24,Sample_0047,1
25,Sample_0052,1
26,Sample_0057,1
27,Sample_0062,1
28,Sample_0083,0
29,Sample_0085,1
30,Sample_0086,1
31,Sample_0087,1
32,Sample_0088,1
33,Sample_0089,0
34,Sample_0091,1
35,Sample_0092,1
36,Sample_0093,1
37,Sample_0094,1
38,Sample_0099,0
39,Sample_0100,0
40,Sample_0105,1
41,Sample_0106,1
42,Sample_0108,1
43,Sample_0109,1
44,Sample_0110,1
45,Sample_0112,1
46,Sample_0114,1
47,Sample_0117,1
48,Sample_0118,1
49,Sample_0119,1
50,Sample_0120,1
51,Sample_0123,0
52,Sample_0124,0
53,Sample_0125,1
54,Sample_0126,1
55,Sample_0131,1
56,Sample_0135,0
57,Sample_0136,0
58,Sample_0137,0
59,Sample_0138,1
60,Sample_0139,1
61,Sample_0140,0
62,Sample_0141,0
63,Sample_0142,0
64,Sample_0143,0
65,Sample_0144,1
66,Sample_0145,0
67,Sample_0146,1
68,Sample_0147,1
69,Sample_0148,1
70,Sample_0149,0
71,Sample_0150,0
72,Sample_0151,0
73,Sample_0152,0
74,Sample_0153,0
75,Sample_0154,0
76,Sample_0155,0
77,Sample_0156,0
78,Sample_0157,1
79,Sample_0158,1
80,Sample_0159,1
81,Sample_0160,1
82,Sample_0161,1
83,Sample_0162,1
84,Sample_0163,1
85,Sample_0164,1
86,Sample_0165,0
87,Sample_0166,0
88,Sample_0167,0
89,Sample_0168,0
90,Sample_0169,0
91,Sample_0170,0
92,Sample_0171,0
93,Sample_0172,0
94,Sample_0173,0
95,Sample_0174,1
96,Sample_0175,0
97,Sample_0176,0
98,Sample_0177,0
99,Sample_0178,0
100,Sample_0179,1
101,Sample_0180,1
102,Sample_0181,1
103,Sample_0182,1
104,Sample_0183,1
105,Sample_0184,0
106,Sample_0185,1
107,Sample_0186,1
108,Sample_0187,1
109,Sample_0188,1
110,Sample_0189,1
111,Sample_0190,1
112,Sample_0191,1
113,Sample_0192,1
114,Sample_0193,1
115,Sample_0194,1
116,Sample_0195,1
117,Sample_0196,1
118,Sample_0197,1
119,Sample_0198,1
120,Sample_0199,0
121,Sample_0200,0
122,Sample_0201,0
123,Sample_0202,0
124,Sample_0203,0
125,Sample_0204,0
126,Sample_0205,0
127,Sample_0206,0
128,Sample_0207,0
129,Sample_0208,0
130,Sample_0209,0
131,Sample_0210,0
132,Sample_0211,0
133,Sample_0212,1
134,Sample_0213,1
135,Sample_0214,1
136,Sample_0215,1
137,Sample_0216,1
138,Sample_0217,1
139,Sample_0218,1
140,Sample_0219,1
141,Sample_0220,1
142,Sample_0221,1
143,Sample_0222,1
144,Sample_0223,0
145,Sample_0224,1
146,Sample_0225,1
147,Sample_0226,1
148,Sample_0227,1
149,Sample_0228,1
150,Sample_0229,1
151,Sample_0230,1
152,Sample_0231,1
153,Sample_0232,1
154,Sample_0233,1
155,Sample_0234,1
156,Sample_0235,1
157,Sample_0236,1
158,Sample_0237,1
159,Sample_0238,1
160,Sample_0239,1
161,Sample_0240,1
162,Sample_0241,1
163,Sample_0242,1
164,Sample_0243,1
165,Sample_0244,1
166,Sample_0245,1
167,Sample_0246,1
168,Sample_0247,1
169,Sample_0248,1
170,Sample_0249,1
171,Sample_0250,1
172,Sample_0251,1
173,Sample_0252,1
174,Sample_0253,1
175,Sample_0254,1
176,Sample_0255,1
